Classroom Name,Building Information,Building,Room Number,Floor Name,Number of Student Seats in Room,Width of Room,Length of Room,Number of Projectors in Room,BluRay,Zoom,Microphone,Laptop HDMI input plug in,Document Camera,Storage,Movable Chairs,Printer,Piano,Stereo,TV,Sink,Notes
SIMP 108,SIMP,Simperman Hall,108,First,24,25,24,5,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1 projector is missing.
SIMP 400,SIMP,Simperman Hall,400,Fourth,30,26,44,1,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,1,"1 sink, 2 lockers, 1 fridge, 2 side rooms, 1 human anatomy poster, 2 human anatomy busts, bookshelves, and more storage compartments."
SIMP 120,SIMP,Simperman Hall,120,First,17,23,26,2,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1,0,"2 bookshelves, a TV in the inner window, and a storage closet."
STCH 034,STCH ,St Charles,034,Basement,46,66,60,1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,4,"2 movable whiteboards, 2 document cameras, additional office, small lockers, 4 sinks, cupboards, 2 storage closets."
PCCC 100,PCCC,Perkins Call Center,100,First,0,56,36,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,2 storage closets.
OCON 106,OCON,O'Connell Hall,106,First,34,35,27,7,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,2 TVs
SIMP 214,SIMP,Simperman Hall,214,Second,27,24,35,1,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,4,"4 sinks, many bookshelves, filing cabinets, and more storage compartments."
CHPL 201,CHPL,St Charles,201,Second,32,36,43,3,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,Access to balcony.
OCON 119,OCON,O'Connell Hall,119,First,30,28,35,4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,"Additional room, many storage compartments."
STCH 018,STCH ,St Charles,018,Basement,24,17,26,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,Closet.
OCON 107,OCON,O'Connell Hall,107,First,86,54,36,1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,"Microphone, storage cabinet, movable whiteboard, periodic table poster."
STCH 017,STCH ,St Charles,017,Basement,23,22,27,1,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,Movable chairs with desk attached.
STCH 045,STCH ,St Charles,045,Basement,28,23,26,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,Movable chairs with desks attached.
SIMP 212,SIMP,Simperman Hall,212,Second,28,23,23,1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,Movable chairs with desks attached.
SIMP 314,SIMP,Simperman Hall,314,Third,32,24,32,5,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,Movable chairs with desks attached.
OCON 101,OCON,O'Connell Hall,101,First,41,37,28,1,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,Movable whiteboard.
CUBE 004,CUBE ,Cube,004,Basement,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,NO CLASSROOM DATA
FSCT 111,FSCT,Fortin Science Center,111,First,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,NO CLASSROOM DATA
FSCT 115,FSCT,Fortin Science Center,115,First,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,NO CLASSROOM DATA
SIMP 121,SIMP,Simperman Hall,121,First,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,NO CLASSROOM DATA
HAC 133,HAC,Hunthausen Activity Center,133,First,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,NO CLASSROOM DATA
FSCT 212,FSCT,Fortin Science Center,212,Second,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,NO CLASSROOM DATA
FSCT 213,FSCT,Fortin Science Center,213,Second,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,NO CLASSROOM DATA
SIMP 220,SIMP,Simperman Hall,220,Second,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,NO CLASSROOM DATA
SIMP 221,SIMP,Simperman Hall,221,Second,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,NO CLASSROOM DATA
