SEC_TERM,COURSE_SECTIONS_ID,SEC_STATUS,SEC_COMMENTS,SEC_PRINTED_COMMENTS,Start Date,Start Month,Start Day,Start Year,SEC_START_DATE,End Date,End Month,End Day,End Year,SEC_END_DATE,SEC_SUBJECT,SEC_COURSE_NO,SEC_NO,SEC_SHORT_TITLE,SEC_MIN_CRED,Military Start,CSM_START_TIME,Military End,CSM_END_TIME,CSM_MONDAY,CSM_TUESDAY,CSM_WEDNESDAY,CSM_THURSDAY,CSM_FRIDAY,CSM_SATURDAY,CSM_SUNDAY,CSM_BLDG,CSM_ROOM,CSM_INSTR_METHOD,SEC_FACULTY_INFO,STUDENTS_AND_RESERVED_SEATS,SEC_CAPACITY,SEC_SCHED_CAPACITY,WAITLIST,XL_CAPACITY,XL_WAITLIST_MAX,CHARGE_AMT_1,CHARGE_AMT_2,CHARGE_AMT_3,AR_CODE_2,AR_CODE_3,sect_AW,sect_FAR,sect_HIS,sect_LIT,sect_CEA,sect_CL,sect_CD,sect_ER,sect_PHL,sect_THE,sect_FYC,sect_GD,sect_ILC,sect_IW,sect_ND,sect_NS,sect_OC,sect_PR,sect_QA,sect_SL,sect_SS,sect_WI,sect_PS,PREREQ,SEC_FACULTY_CONSENT_FLAG,SEC_PETITION_REQD_FLAG,SEC_HIDE_IN_CATALOG,CSM_START_DATE,CSM_END_DATE,NEEDS_BUILD,SEC_OVERRIDE_CRS_REQS_FLAG,SEC_OVR_PREREG_START_DATE,SEC_OVR_ADD_START_DATE,SEC_OVR_DROP_GR_REQD_DATE,SEC_OVR_DROP_END_DATE,SEC_ACAD_LEVEL,SEC_NO_WEEKS,SEC_XLIST,SEC_GRADE_SCHEME,SEC_CRED_TYPE,SEC_REG_RETAKE_POLICY,SEC_BILLING_CRED,SEC_BILLING_METHOD,SEC_BILLING_PERIOD_TYPE,SEC_MIN_ENROLL,SEC_ONLY_PASS_NOPASS_FLAG,SEC_ALLOW_PASS_NOPASS_FLAG,SEC_ALLOW_AUDIT_FLAG,SEC_ALLOW_WAITLIST_FLAG,SEC_WAITLIST_MAX,SEC_WAITLIST_NO_DAYS,SEC_CLOSE_WAITLIST_FLAG,CSM_ROOM_SCHED_TERM,SEC_SYNONYM,SEC_COURSE,SEC_NAME,,,SEC_MEETING_INFO,,SEC_FIRST_MEETING_DATE,SEC_LAST_MEETING_DATE,Name
2024SP,20235,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,ANZ,342,A,Equine Facilities Management 2,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EQCT,EQCT,LAB,H. Suthers,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,Y,,,,,UG,15,,+,INST,R2,,T,T,4,N,Y,Y,Y,10,3,Y,,19401,2721,ANZ-342-A,,,"01/17/2024-05/09/2024 Lecture Monday 09:00AM - 09:50AM, ANZ Equine Center, Room EQCT (more)...",,Jan 17 2024,May  9 2024,EQCT EQCT
2024SP,20184,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-03-10,03,10,2024,Mar 10 2024,ACNU,305B,A,Clinical Nursing Care I PartB,,0:01:00,12:01AM,6:30:00,6:30AM,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,OFCP,OFFCMPS,CLIN2,A. Boitano,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,Mar 10 2024,Current or Needs Rebuild,N,Nov  5 2023,Jan 17 2024,Jan 25 2024,Mar  7 2024,UG,8,,+,INST,R2,,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19350,2603,ACNU-305B-A,,,"01/17/2024-03/10/2024 Clinical Friday, Saturday 06:30PM - 11:59PM, Off-Campus, Room OFFCMPS (more)...",,Jan 19 2024,Mar 10 2024,OFCP OFFCMPS
2024SP,20184,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-03-10,03,10,2024,Mar 10 2024,ACNU,305B,A,Clinical Nursing Care I PartB,2.00000,18:30:00,6:30PM,23:59:00,11:59PM,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,OFCP,OFFCMPS,CLIN,A. Boitano,9,10,11,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,Mar 10 2024,Current or Needs Rebuild,N,Nov  5 2023,Jan 17 2024,Jan 25 2024,Mar  7 2024,UG,8,,+,INST,R2,2.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19350,2603,ACNU-305B-A,,,"01/17/2024-03/10/2024 Clinical Friday, Saturday 06:30PM - 11:59PM, Off-Campus, Room OFFCMPS (more)...",,Jan 19 2024,Mar 10 2024,OFCP OFFCMPS
2024SP,20690,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,SW,525,A,Practicum II,3.00000,,,,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,OFCP,OFFCMPS,PRAC,M. Molloy,16,20,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,GR,16,,+,INST,R2GR,3.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19847,2641,SW-525-A,,,"01/17/2024-05/09/2024 Practicum Wednesday, Thursday, Friday Times to be AnnouncedOff-Campus, Room OFFCMPS",,Jan 17 2024,May  9 2024,OFCP OFFCMPS
2024SP,20693,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,SW,545,A,Practicum IV,3.00000,,,,,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,,PRAC,M. Molloy,17,20,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,GR,16,,+,INST,R2GR,3.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19850,2648,SW-545-A,,,"01/17/2024-05/09/2024 Practicum Wednesday, Thursday, Friday Times to be Announced, Room to be Announced",,Jan 17 2024,May  9 2024, 
2024SP,20406,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,BI,202,A,Intro to Human A & P II,4.00000,8:00:00,8:00AM,8:50:00,8:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,OCON,107,LEC,E. Sheafor,49,49,49,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,4.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19572,96,BI-202-A,,,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 08:00AM - 08:50AM, O'Connell Hall, Room 107",,Jan 17 2024,May  8 2024,OCON 107
2024SP,20437,F,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,CH,102,C,General Chemistry II,3.00000,8:00:00,8:00AM,8:50:00,8:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,OCON,106,LEC,J. Rowley,0,21,30,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19603,100,CH-102-C,,,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 08:00AM - 08:50AM, O'Connell Hall, Room 106",,Jan 17 2024,May  8 2024,OCON 106
2024SP,20438,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,CH,102,D,General Chemistry II,3.00000,8:00:00,8:00AM,8:50:00,8:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,SIMP,101,LEC,R. Coates,32,31,31,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,15,,+,INST,R2,3.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19604,100,CH-102-D,,,"01/17/2024-05/09/2024 Lecture Monday, Wednesday, Friday 08:00AM - 08:50AM, Simperman Hall, Room 101",,Jan 17 2024,May  9 2024,SIMP 101
2024SP,20136,A,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,SPED,206,A,Collab & Conf Tech for Edu,3.00000,8:00:00,8:00AM,8:50:00,8:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,OCON,119,LEC,K. Gilboy,16,16,16,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,IW,-,-,-,-,-,-,-,-,-,,N,N,,Jan 17 2024,May  9 2024,Current or Needs Rebuild,N,,,,,UG,15,,+,INST,R2,3.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19302,2541,SPED-206-A,,,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 08:00AM - 08:50AM, O'Connell Hall, Room 119",,Jan 17 2024,May  8 2024,OCON 119
2024SP,20407,C,,,2024-01-17,01,17,2024,Jan 17 2024,2024-05-9,05,9,2024,May  9 2024,BI,202,B,Intro to Human A & P II,4.00000,9:00:00,9:00AM,9:50:00,9:50AM,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,OCON,107,LEC,A. Hahn,0,49,49,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,N,N,,Jan 17 2024,May  9 2024,Needs Build,N,,,,,UG,15,,+,INST,R2,4.00000,T,T,4,N,Y,Y,Y,10,3,Y,2024SP,19573,96,BI-202-B,,,"01/17/2024-05/08/2024 Lecture Monday, Wednesday, Friday 09:00AM - 09:50AM, O'Connell Hall, Room 107",,Jan 17 2024,May  8 2024,OCON 107
